league,journee,home,away,odd_1,odd_x,odd_2,odd_g,odd_ng,result
French League,19,Strasbourg,Paris FC,2.05,3.35,3.66,1.78,2.01,1-1
French League,19,Metz,Auxerre,2.09,4.02,3.02,1.41,2.86,4-1
French League,19,Lorient,Nice,3.93,3.63,1.89,1.68,2.16,1-2
French League,19,Marseille,Lille,1.94,3.45,3.94,1.77,2.02,1-1
French League,19,Brest,Lens,2.84,2.98,2.68,1.96,1.82,1-0
French League,19,Le Havre,Nantes,2.79,3.12,2.63,1.83,1.95,2-0
French League,19,Paris SG,Monaco,1.66,4.71,4.10,1.38,2.98,1-0
French League,19,Lyon,Angers,1.38,4.66,8.13,1.97,1.81,2-1
French League,19,Rennes,Toulouse,1.74,3.79,4.49,1.70,2.11,3-1
French League,20,Lille,Lyon,1.73,4.08,4.21,1.54,2.43,1-1
French League,20,Monaco,Marseille,2.07,3.84,3.17,1.49,2.58,0-1
French League,20,Toulouse,Lens,3.59,3.06,2.20,1.97,1.81,1-1
French League,20,Paris SG,Metz,1.13,8.83,15.64,2.09,1.72,3-0
French League,20,Angers,Rennes,4.15,3.83,1.79,1.62,2.25,3-3
French League,20,Nice,Le Havre,1.56,3.87,6.29,1.99,1.79,2-1
French League,20,Auxerre,Strasbourg,2.32,3.19,3.17,1.81,1.97,1-1
French League,20,Nantes,Brest,2.65,3.27,2.65,1.72,2.09,1-2
French League,20,Paris FC,Lorient,2.02,3.50,3.58,1.68,2.15,1-0
French League,21,Lorient,Auxerre,2.22,3.77,2.91,1.48,2.61,3-1
French League,21,Strasbourg,Paris SG,6.02,4.51,1.49,1.69,2.13,0-1
French League,21,Lyon,Monaco,2.15,4.07,2.87,1.38,2.98,1-1
French League,21,Le Havre,Paris FC,3.58,3.26,2.11,1.83,1.95,2-1
French League,21,Marseille,Metz,1.15,8.02,15.26,2.10,1.72,2-1
French League,21,Brest,Toulouse,2.08,3.40,3.51,1.73,2.08,2-4
French League,21,Rennes,Lille,1.90,3.37,4.20,1.87,1.91,2-1
French League,21,Nantes,Nice,3.95,3.21,2.02,1.93,1.85,0-0
French League,21,Lens,Angers,1.33,4.71,10.52,2.34,1.58,2-0
French League,22,Monaco,Rennes,1.69,4.10,4.45,1.58,2.35,2-3
French League,22,Nice,Brest,1.62,3.79,5.64,1.91,1.86,0-3
French League,22,Paris SG,Lorient,1.32,5.76,7.67,1.64,2.22,4-1
